Age,Birthplace,Degree,GADT_Cat,GAD_T,Game,Gender,Hours,League_clean,Narcissism,Narcissism_Cat,Platform,Playstyle_clean,Residence,SPINT_Cat,SPIN_T,SWLT_Cat,SWL_T,Work,earnings_clean,whyplay_clean
18,Ivory Coast,High school diploma (or equivalent),severe anxiety,21,League of Legends,Male,50.0,unranked,5.0,Very True of me,PC,Multiplayer - online - with strangers,Switzerland,Very Severe,53.0,Extremely dissatisfied,5,Student at school,Fun,winning
18,Germany,None,minimal anxiety,4,League of Legends,Male,12.0,diamond,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Germany,None,5.0,Satisfied,28,Student at school,Earning while playing,fun
18,UK,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Male,4.0,diamond,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,France,None,16.0,dissatisfied,12,Student at college / university,Earning while playing,winning
28,USA,High school diploma (or equivalent),minimal anxiety,4,League of Legends,Male,7.0,unranked,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,USA,None,4.0,Slightly satisfied,24,Employed,Fun,improving
34,Canada,High school diploma (or equivalent),minimal anxiety,3,League of Legends,Male,30.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Canada,None,6.0,Extremely satisfied,31,Employed,Fun,improving
21,Brazil,High school diploma (or equivalent),mild anxiety,7,League of Legends,Male,35.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,Brazil,Severe,46.0,Slightly satisfied,25,Student at college / university,Fun,improving
20,Unknown,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Male,20.0,silver,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Unknown,None,14.0,Satisfied,26,Student at school,Earning while playing,improving
28,Spain,Master (or equivalent),minimal anxiety,1,League of Legends,Male,8.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,Spain,None,16.0,Slightly satisfied,23,Employed,Fun,fun
18,Estonia,High school diploma (or equivalent),mild anxiety,8,League of Legends,Male,20.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Estonia,None,11.0,Slightly dissatisfied,19,Student at college / university,Fun,fun
22,Netherlands,Bachelor (or equivalent),minimal anxiety,4,League of Legends,Male,5.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Netherlands,None,4.0,Satisfied,27,Employed,Fun,fun
25,Germany,Master (or equivalent),minimal anxiety,0,League of Legends,Male,20.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,Germany,None,0.0,Extremely satisfied,33,Student at college / university,Fun,fun
23,Canada,Bachelor (or equivalent),severe anxiety,21,League of Legends,Male,14.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Canada,Mild,25.0,Slightly dissatisfied,18,Employed,Fun,winning
18,Finland,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Male,1.0,diamond,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Unknown,Moderate,34.0,Slightly satisfied,23,Student at college / university,Fun,all
22,France,Master (or equivalent),minimal anxiety,2,League of Legends,Male,20.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,France,None,10.0,Slightly dissatisfied,17,Student at school,Fun,improving
25,USA,Bachelor (or equivalent),minimal anxiety,3,League of Legends,Male,14.0,silver,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,USA,Moderate,38.0,Extremely dissatisfied,8,Employed,Fun,improving
23,Unknown,High school diploma (or equivalent),minimal anxiety,4,League of Legends,Male,40.0,diamond,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Unknown,None,8.0,Slightly dissatisfied,19,Student at college / university,Fun,fun
19,Canada,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Male,13.0,platinum,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,Canada,None,17.0,Slightly dissatisfied,16,Student at college / university,Fun,improving
20,Lithuania,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,5.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Lithuania,None,10.0,dissatisfied,14,Unemployed / between jobs,Fun,winning
18,USA,None,moderate anxiety,11,League of Legends,Male,17.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,USA,Moderate,34.0,Slightly dissatisfied,18,Student at school,Fun,winning
18,Brazil,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,16.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,USA,None,7.0,Slightly satisfied,21,Student at school,Fun,improving
23,USA,High school diploma (or equivalent),moderate anxiety,14,League of Legends,Female,7.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,USA,Severe,49.0,Extremely satisfied,32,Employed,Fun,fun
21,Morocco,Bachelor (or equivalent),minimal anxiety,3,League of Legends,Male,12.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with online acquaintances or teammates,Morocco,None,15.0,Satisfied,30,Student at college / university,Fun,improving
21,USA,Bachelor (or equivalent),minimal anxiety,1,League of Legends,Male,10.0,diamond,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,USA,None,3.0,Satisfied,28,Student at college / university,Fun,fun
20,UK,None,mild anxiety,5,League of Legends,Male,7.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,UK,None,11.0,Slightly satisfied,24,Student at college / university,Fun,fun
23,USA,Bachelor (or equivalent),minimal anxiety,4,League of Legends,Male,20.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,USA,None,14.0,Slightly satisfied,22,Employed,Fun,fun
18,Canada,High school diploma (or equivalent),moderate anxiety,11,League of Legends,Male,30.0,gold,4.0,Mostly True of me,PC,Multiplayer - online - with real life friends,Canada,Moderate,39.0,dissatisfied,11,Student at college / university,Earning while playing,winning
25,Spain,Bachelor (or equivalent),minimal anxiety,2,League of Legends,Male,30.0,platinum,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Spain,None,9.0,Satisfied,28,Student at college / university,Fun,fun
20,USA,High school diploma (or equivalent),mild anxiety,6,League of Legends,Male,30.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,USA,None,13.0,Extremely satisfied,32,Student at college / university,Fun,improving
24,Netherlands,Bachelor (or equivalent),minimal anxiety,3,League of Legends,Male,15.0,platinum,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Canada,None,5.0,Satisfied,26,Employed,Fun,improving
23,Ireland,High school diploma (or equivalent),mild anxiety,5,League of Legends,Male,40.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,UK,None,6.0,Slightly dissatisfied,17,Student at college / university,Fun,improving
21,USA,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,4.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,USA,Moderate,32.0,Slightly dissatisfied,16,Employed,Fun,improving
21,UK,None,mild anxiety,5,League of Legends,Male,8.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,UK,Mild,28.0,dissatisfied,11,Employed,Fun,fun
20,France,Bachelor (or equivalent),minimal anxiety,0,League of Legends,Male,4.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,France,None,11.0,dissatisfied,12,Student at college / university,Fun,fun
18,Hungary,None,severe anxiety,17,League of Legends,Male,22.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with online acquaintances or teammates,Hungary,None,8.0,Extremely dissatisfied,5,Student at school,Earning while playing,winning
22,Brazil,High school diploma (or equivalent),severe anxiety,17,League of Legends,Male,20.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with online acquaintances or teammates,Brazil,Mild,30.0,Slightly dissatisfied,15,Student at college / university,Fun,fun
19,Australia,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,20.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,Australia,Mild,28.0,Slightly dissatisfied,17,Employed,Fun,improving
19,USA,High school diploma (or equivalent),mild anxiety,5,League of Legends,Male,20.0,platinum,2.0,Somewhat True of me,PC,Multiplayer - online - with online acquaintances or teammates,USA,Moderate,35.0,Slightly dissatisfied,19,Student at college / university,Fun,improving
23,UK,High school diploma (or equivalent),minimal anxiety,4,League of Legends,Female,28.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,UK,None,15.0,Slightly satisfied,24,Student at college / university,Fun,winning
23,Australia,High school diploma (or equivalent),mild anxiety,7,League of Legends,Male,15.0,silver,5.0,Very True of me,PC,Multiplayer - online - with strangers,Australia,None,0.0,Extremely dissatisfied,5,Student at college / university,Fun,improving
23,USA,High school diploma (or equivalent),mild anxiety,7,League of Legends,Male,20.0,gold,4.0,Mostly True of me,PC,Multiplayer - online - with online acquaintances or teammates,USA,Moderate,34.0,dissatisfied,10,Employed,Fun,winning
23,USA,Bachelor (or equivalent),minimal anxiety,1,League of Legends,Female,15.0,silver,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Germany,None,3.0,Extremely satisfied,31,Unemployed / between jobs,Fun,fun
18,Spain,None,minimal anxiety,4,League of Legends,Male,14.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Germany,Mild,25.0,Slightly satisfied,23,Student at school,Fun,improving
18,Denmark,None,mild anxiety,9,League of Legends,Male,10.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Denmark,None,17.0,dissatisfied,10,Student at school,Fun,relaxing
22,Switzerland,Bachelor (or equivalent),minimal anxiety,2,League of Legends,Male,15.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Switzerland,Mild,21.0,Satisfied,27,Student at college / university,Fun,fun
21,USA,Bachelor (or equivalent),severe anxiety,16,League of Legends,Male,45.0,diamond,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,USA,Severe,50.0,dissatisfied,10,Student at college / university,Fun,fun
26,Canada,Master (or equivalent),moderate anxiety,13,League of Legends,Male,21.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Canada,Mild,22.0,Slightly satisfied,23,Student at college / university,Fun,winning
26,Brazil,Master (or equivalent),moderate anxiety,12,League of Legends,Male,15.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Brazil,None,7.0,Slightly dissatisfied,16,Employed,Fun,improving
28,Russia,High school diploma (or equivalent),minimal anxiety,0,League of Legends,Male,20.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Russia,None,7.0,Satisfied,30,Employed,Fun,fun
20,Ukraine,High school diploma (or equivalent),mild anxiety,5,League of Legends,Male,25.0,diamond,2.0,Somewhat True of me,PC,Multiplayer - online - with online acquaintances or teammates,Ukraine,None,20.0,Slightly dissatisfied,17,Student at college / university,Earning while playing,improving
18,Italy,None,mild anxiety,7,League of Legends,Male,21.0,platinum,2.0,Somewhat True of me,PC,Multiplayer - online - with online acquaintances or teammates,Italy,Mild,28.0,dissatisfied,13,Student at school,Fun,improving
18,Italy,High school diploma (or equivalent),minimal anxiety,0,League of Legends,Male,50.0,platinum,3.0,Moderately True of me,PC,Multiplayer - online - with online acquaintances or teammates,Italy,Mild,21.0,dissatisfied,12,Student at school,Fun,fun
21,USA,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,8.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,USA,None,3.0,Extremely satisfied,32,Student at college / university,Fun,fun
24,USA,High school diploma (or equivalent),minimal anxiety,3,League of Legends,Male,8.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,USA,None,16.0,Slightly dissatisfied,15,Unemployed / between jobs,Fun,fun
19,Norway,High school diploma (or equivalent),minimal anxiety,4,League of Legends,Female,14.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with online acquaintances or teammates,Norway,Mild,28.0,Slightly dissatisfied,16,Student at college / university,Fun,fun
25,Australia,"Ph.D., Psy. D., MD (or equivalent)",minimal anxiety,3,League of Legends,Male,20.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Australia,None,12.0,Slightly dissatisfied,19,Employed,Fun,fun
18,Germany,High school diploma (or equivalent),minimal anxiety,3,League of Legends,Male,15.0,silver,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Germany,Mild,27.0,Neutral,20,Student at college / university,Fun,improving
19,Brazil,High school diploma (or equivalent),mild anxiety,7,League of Legends,Male,25.0,platinum,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Brazil,None,17.0,dissatisfied,11,Employed,Fun,fun
20,USA,High school diploma (or equivalent),mild anxiety,6,League of Legends,Female,30.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,USA,None,18.0,Satisfied,29,Student at college / university,Earning while playing,improving
19,Sweden,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,5.0,silver,4.0,Mostly True of me,PC,Multiplayer - online - with real life friends,Sweden,Mild,24.0,dissatisfied,10,Unemployed / between jobs,Fun,winning
25,Australia,Bachelor (or equivalent),minimal anxiety,4,League of Legends,Male,35.0,unranked,4.0,Mostly True of me,PC,Multiplayer - online - with real life friends,Australia,Mild,22.0,Neutral,20,Employed,Earning while playing,winning
19,Germany,High school diploma (or equivalent),minimal anxiety,0,League of Legends,Male,10.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Germany,None,8.0,Slightly satisfied,23,Student at college / university,Fun,fun
22,Poland,High school diploma (or equivalent),mild anxiety,9,League of Legends,Male,30.0,platinum,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Poland,Severe,47.0,dissatisfied,13,Student at college / university,Fun,fun
20,Mexico,High school diploma (or equivalent),mild anxiety,6,League of Legends,Male,25.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Mexico,Mild,22.0,Slightly dissatisfied,17,Student at college / university,Fun,improving
20,Netherlands,High school diploma (or equivalent),mild anxiety,5,League of Legends,Male,35.0,platinum,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Netherlands,None,20.0,Slightly dissatisfied,17,Student at college / university,Fun,improving
19,France,Bachelor (or equivalent),severe anxiety,16,League of Legends,Male,10.0,diamond,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,France,Very Severe,60.0,Neutral,20,Student at school,Fun,winning
19,USA,High school diploma (or equivalent),minimal anxiety,4,League of Legends,Male,60.0,diamond,1.0,Not Very True of me,PC,Multiplayer - online - with online acquaintances or teammates,USA,None,19.0,Slightly dissatisfied,17,Student at college / university,Earning while playing,fun
33,Netherlands,Master (or equivalent),minimal anxiety,4,League of Legends,Male,12.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Netherlands,None,0.0,Satisfied,28,Employed,Fun,fun
18,Lebanon,None,minimal anxiety,3,League of Legends,Male,20.0,diamond,1.0,Not Very True of me,"Console (PS, Xbox, ...)",Multiplayer - online - with online acquaintances or teammates,Lebanon,Mild,28.0,Slightly satisfied,24,Student at school,Fun,fun
18,Germany,High school diploma (or equivalent),moderate anxiety,13,League of Legends,Male,25.0,gold,3.0,Moderately True of me,PC,singleplayer,Germany,Mild,21.0,Neutral,20,Student at school,Fun,improving
20,USA,High school diploma (or equivalent),minimal anxiety,0,League of Legends,Male,14.0,platinum,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,USA,None,17.0,Slightly satisfied,23,Student at college / university,Fun,improving
18,USA,None,minimal anxiety,3,League of Legends,Male,3.0,unranked,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,USA,None,20.0,Slightly satisfied,23,Student at school,Fun,improving
18,USA,High school diploma (or equivalent),moderate anxiety,12,League of Legends,Male,21.0,silver,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,USA,Moderate,34.0,Satisfied,30,Student at college / university,Fun,winning
20,Vietnam,High school diploma (or equivalent),mild anxiety,5,League of Legends,Male,21.0,platinum,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Vietnam,Moderate,35.0,dissatisfied,11,Student at college / university,Fun,improving
21,UK,None,minimal anxiety,3,League of Legends,Male,14.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,UK,None,6.0,dissatisfied,12,Student at college / university,Fun,fun
20,Germany,High school diploma (or equivalent),minimal anxiety,0,League of Legends,Male,40.0,silver,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Germany,Mild,21.0,Satisfied,26,Student at college / university,Fun,fun
22,Germany,Bachelor (or equivalent),minimal anxiety,4,League of Legends,Male,25.0,silver,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Germany,None,14.0,Slightly dissatisfied,17,Unemployed / between jobs,Fun,fun
18,Germany,None,minimal anxiety,2,League of Legends,Male,16.0,platinum,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Germany,None,12.0,Slightly satisfied,24,Student at school,Fun,improving
18,USA,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Male,18.0,platinum,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,USA,None,6.0,Satisfied,26,Employed,Earning while playing,improving
20,Lithuania,High school diploma (or equivalent),mild anxiety,7,League of Legends,Female,14.0,silver,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Lithuania,None,11.0,Satisfied,29,Student at college / university,Fun,fun
20,South Africa,High school diploma (or equivalent),minimal anxiety,4,League of Legends,Male,15.0,platinum,4.0,Mostly True of me,PC,Multiplayer - online - with real life friends,USA,None,1.0,dissatisfied,13,Employed,Fun,improving
25,UK,Bachelor (or equivalent),minimal anxiety,4,League of Legends,Male,10.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with online acquaintances or teammates,UK,Mild,23.0,Slightly dissatisfied,15,Unemployed / between jobs,Fun,fun
24,Poland,Bachelor (or equivalent),mild anxiety,7,League of Legends,Male,15.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Poland,None,11.0,Slightly dissatisfied,17,Employed,Fun,relaxing
19,Germany,High school diploma (or equivalent),mild anxiety,5,League of Legends,Male,20.0,platinum,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Germany,None,19.0,Slightly dissatisfied,19,Student at college / university,Fun,fun
18,Israel,None,mild anxiety,6,League of Legends,Male,30.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Israel,Moderate,35.0,Satisfied,27,Student at school,Fun,fun
18,Germany,High school diploma (or equivalent),minimal anxiety,3,League of Legends,Male,15.0,silver,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Germany,None,11.0,Satisfied,29,Student at school,Fun,winning
19,Sweden,None,minimal anxiety,1,League of Legends,Male,14.0,silver,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Sweden,None,10.0,Neutral,20,Student at school,Fun,fun
18,UK,High school diploma (or equivalent),minimal anxiety,0,League of Legends,Male,10.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,UK,None,12.0,Slightly dissatisfied,17,Student at college / university,Fun,fun
26,USA,High school diploma (or equivalent),mild anxiety,5,League of Legends,Male,20.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,USA,None,15.0,Slightly dissatisfied,19,Unemployed / between jobs,Fun,improving
36,USA,Bachelor (or equivalent),minimal anxiety,4,League of Legends,Male,20.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,USA,None,19.0,Extremely satisfied,35,Employed,Fun,improving
23,Poland,High school diploma (or equivalent),severe anxiety,18,League of Legends,Male,15.0,unranked,1.0,Not Very True of me,PC,singleplayer,Poland,Mild,27.0,dissatisfied,10,Unemployed / between jobs,Fun,winning
25,France,Master (or equivalent),mild anxiety,6,League of Legends,Male,20.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,France,None,2.0,Extremely satisfied,33,Employed,Fun,improving
18,Ecuador,Bachelor (or equivalent),minimal anxiety,3,League of Legends,Male,15.0,platinum,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Spain,None,13.0,Satisfied,27,Student at college / university,Earning while playing,improving
18,Brazil,High school diploma (or equivalent),moderate anxiety,10,League of Legends,Male,18.0,platinum,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,Brazil,None,12.0,Slightly dissatisfied,18,Student at college / university,Fun,improving
18,Netherlands,High school diploma (or equivalent),mild anxiety,7,League of Legends,Male,8.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Unknown,None,1.0,Slightly dissatisfied,15,Student at college / university,Fun,winning
23,UK,Master (or equivalent),minimal anxiety,2,League of Legends,Male,10.0,platinum,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,UK,None,15.0,Slightly dissatisfied,16,Unemployed / between jobs,Fun,fun
34,USA,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Female,20.0,silver,3.0,Moderately True of me,PC,Multiplayer - online - with online acquaintances or teammates,USA,None,4.0,Slightly satisfied,24,Employed,Fun,fun
20,Portugal,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,18.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Portugal,None,7.0,Slightly satisfied,22,Student at college / university,Fun,improving
20,Ireland,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Male,20.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Ireland,None,4.0,Extremely satisfied,31,Student at college / university,Fun,improving
22,Serbia,High school diploma (or equivalent),minimal anxiety,4,League of Legends,Male,45.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,Serbia,None,11.0,Satisfied,30,Student at college / university,Fun,winning
19,Germany,High school diploma (or equivalent),moderate anxiety,10,League of Legends,Male,18.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,Germany,Mild,29.0,Slightly dissatisfied,16,Student at college / university,Fun,fun
18,Italy,None,mild anxiety,7,League of Legends,Male,21.0,platinum,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Italy,Severe,50.0,Neutral,20,Student at school,Fun,improving
19,Germany,High school diploma (or equivalent),minimal anxiety,0,League of Legends,Male,15.0,platinum,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,Germany,None,10.0,Satisfied,29,Employed,Fun,improving
20,Austria,High school diploma (or equivalent),minimal anxiety,4,League of Legends,Male,30.0,platinum,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Austria,None,18.0,Slightly dissatisfied,16,Unemployed / between jobs,Fun,fun
20,Canada,High school diploma (or equivalent),mild anxiety,6,League of Legends,Female,20.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Canada,None,13.0,Slightly dissatisfied,15,Student at college / university,Fun,relaxing
24,South Africa,High school diploma (or equivalent),mild anxiety,5,League of Legends,Male,8.0,silver,4.0,Mostly True of me,PC,Multiplayer - online - with real life friends,South Africa,None,8.0,Slightly satisfied,25,Employed,Fun,improving
19,Hong Kong,High school diploma (or equivalent),severe anxiety,16,League of Legends,Male,25.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,UK,Very Severe,56.0,Extremely dissatisfied,9,Student at school,Fun,improving
24,USA,Bachelor (or equivalent),moderate anxiety,10,League of Legends,Male,7.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,USA,None,0.0,Slightly dissatisfied,17,Employed,Fun,fun
18,USA,None,minimal anxiety,4,League of Legends,Male,15.0,silver,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,USA,Moderate,31.0,Satisfied,28,Student at school,Fun,fun
21,Netherlands,High school diploma (or equivalent),mild anxiety,5,League of Legends,Male,12.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,Netherlands,None,14.0,Slightly satisfied,21,Student at college / university,Fun,improving
18,Israel,None,minimal anxiety,3,League of Legends,Male,12.0,silver,1.0,Not Very True of me,PC,Multiplayer - online - with online acquaintances or teammates,Israel,Mild,23.0,Satisfied,29,Student at school,Fun,fun
22,Austria,High school diploma (or equivalent),moderate anxiety,12,League of Legends,Male,10.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Austria,Moderate,40.0,Extremely dissatisfied,7,Employed,Fun,improving
22,USA,High school diploma (or equivalent),minimal anxiety,3,League of Legends,Male,20.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,USA,Mild,24.0,dissatisfied,10,Unemployed / between jobs,Fun,improving
22,Venezuela,Bachelor (or equivalent),moderate anxiety,12,League of Legends,Male,20.0,platinum,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Spain,Moderate,33.0,dissatisfied,14,Student at college / university,Fun,winning
19,France,High school diploma (or equivalent),minimal anxiety,3,League of Legends,Male,20.0,diamond,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,France,None,5.0,dissatisfied,13,Student at college / university,Fun,improving
21,USA,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,35.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,USA,None,9.0,dissatisfied,12,Employed,Fun,winning
18,Germany,High school diploma (or equivalent),moderate anxiety,10,League of Legends,Male,35.0,diamond,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Germany,None,19.0,dissatisfied,14,Unemployed / between jobs,Fun,fun
22,Netherlands,Master (or equivalent),mild anxiety,5,League of Legends,Male,20.0,platinum,2.0,Somewhat True of me,PC,Multiplayer - online - with online acquaintances or teammates,Netherlands,None,20.0,Slightly dissatisfied,15,Student at college / university,Fun,winning
18,Netherlands,High school diploma (or equivalent),minimal anxiety,0,League of Legends,Male,10.0,diamond,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Netherlands,None,10.0,Satisfied,30,Student at school,Fun,improving
19,Netherlands,High school diploma (or equivalent),minimal anxiety,3,League of Legends,Male,23.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,Netherlands,Mild,23.0,Slightly dissatisfied,15,Student at college / university,Fun,fun
27,Denmark,Bachelor (or equivalent),minimal anxiety,0,League of Legends,Male,20.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Denmark,None,4.0,Slightly satisfied,25,Employed,Fun,fun
19,USA,High school diploma (or equivalent),minimal anxiety,4,League of Legends,Male,10.0,silver,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,USA,Mild,27.0,Slightly satisfied,23,Student at college / university,Fun,improving
21,Italy,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,23.0,silver,4.0,Mostly True of me,PC,Multiplayer - online - with real life friends,Italy,None,3.0,Slightly satisfied,21,Employed,Fun,improving
36,Belgium,Master (or equivalent),minimal anxiety,1,League of Legends,Male,10.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Germany,None,12.0,Extremely satisfied,32,Employed,Fun,winning
22,Poland,High school diploma (or equivalent),mild anxiety,5,League of Legends,Male,50.0,diamond,4.0,Mostly True of me,PC,Multiplayer - online - with online acquaintances or teammates,Sweden,Moderate,32.0,Slightly dissatisfied,19,Student at school,Earning while playing,improving
23,Germany,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Male,15.0,platinum,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,Germany,None,8.0,Extremely dissatisfied,8,Unemployed / between jobs,Fun,fun
30,France,Master (or equivalent),minimal anxiety,2,League of Legends,Male,12.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,France,None,18.0,Satisfied,27,Employed,Fun,winning
19,Canada,High school diploma (or equivalent),minimal anxiety,0,League of Legends,Male,10.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Canada,Mild,25.0,Slightly satisfied,25,Employed,Fun,fun
