Age,Birthplace,Degree,GADT_Cat,GAD_T,Game,Gender,Hours,League_clean,Narcissism,Narcissism_Cat,Platform,Playstyle_clean,Residence,SPINT_Cat,SPIN_T,SWLT_Cat,SWL_T,Work,earnings_clean,whyplay_clean
20,UK,High school diploma (or equivalent),minimal anxiety,3,League of Legends,Male,30.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,UK,None,6.0,Slightly dissatisfied,19,Employed,Fun,fun
34,Germany,Master (or equivalent),minimal anxiety,4,League of Legends,Male,7.0,silver,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Germany,None,18.0,Slightly satisfied,22,Employed,Fun,fun
21,Slovakia,Bachelor (or equivalent),mild anxiety,6,League of Legends,Male,30.0,gold,2.0,Somewhat True of me,PC,singleplayer,Czech Republic,Mild,28.0,Slightly satisfied,21,Student at college / university,Fun,fun
20,Lithuania,High school diploma (or equivalent),mild anxiety,5,League of Legends,Female,10.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Lithuania,Mild,27.0,Extremely satisfied,31,Student at college / university,Fun,fun
18,Norway,High school diploma (or equivalent),moderate anxiety,11,League of Legends,Female,40.0,diamond,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Norway,None,7.0,Satisfied,27,Student at school,Fun,fun
25,Germany,"Ph.D., Psy. D., MD (or equivalent)",minimal anxiety,1,League of Legends,Male,12.0,platinum,4.0,Mostly True of me,PC,Multiplayer - online - with real life friends,Germany,None,5.0,Extremely satisfied,31,Employed,Fun,improving
19,Sri Lanka,High school diploma (or equivalent),mild anxiety,7,League of Legends,Male,16.0,silver,1.0,Not Very True of me,PC,Multiplayer - online - with online acquaintances or teammates,Japan,None,14.0,Slightly satisfied,21,Student at college / university,Fun,fun
18,UK,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Male,16.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,UK,None,2.0,Satisfied,27,Student at school,Fun,fun
18,UK,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,12.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,UK,None,16.0,Slightly satisfied,22,Employed,Fun,improving
21,Croatia,High school diploma (or equivalent),moderate anxiety,10,League of Legends,Male,21.0,silver,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Croatia,Mild,23.0,Slightly dissatisfied,16,Student at college / university,Fun,fun
23,Germany,High school diploma (or equivalent),minimal anxiety,3,League of Legends,Male,5.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Germany,None,8.0,Slightly satisfied,24,Employed,Fun,fun
22,Finland,High school diploma (or equivalent),minimal anxiety,4,League of Legends,Male,40.0,diamond,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Finland,None,14.0,Neutral,20,Student at college / university,Fun,improving
18,Singapore,High school diploma (or equivalent),mild anxiety,5,League of Legends,Male,11.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with online acquaintances or teammates,Singapore,None,8.0,Slightly satisfied,25,Student at college / university,Earning while playing,improving
20,Belgium,High school diploma (or equivalent),mild anxiety,5,League of Legends,Male,30.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Belgium,Moderate,36.0,Slightly satisfied,25,Student at college / university,Fun,improving
19,Argentina,High school diploma (or equivalent),mild anxiety,9,League of Legends,Male,12.0,platinum,3.0,Moderately True of me,PC,Multiplayer - online - with online acquaintances or teammates,Argentina,Moderate,32.0,Neutral,20,Student at college / university,Fun,winning
24,Portugal,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,30.0,diamond,1.0,Not Very True of me,PC,Multiplayer - online - with online acquaintances or teammates,Portugal,None,12.0,Satisfied,26,Employed,Earning while playing,fun
23,Poland,Bachelor (or equivalent),minimal anxiety,0,League of Legends,Male,30.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Poland,None,2.0,Slightly satisfied,22,Unemployed / between jobs,Fun,winning
18,Germany,High school diploma (or equivalent),mild anxiety,6,League of Legends,Male,21.0,platinum,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Germany,None,0.0,Extremely dissatisfied,8,Student at college / university,Fun,improving
21,Austria,Bachelor (or equivalent),minimal anxiety,3,League of Legends,Male,50.0,diamond,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,Austria,Mild,22.0,dissatisfied,13,Student at college / university,Earning while playing,relaxing
23,Netherlands,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Male,20.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with online acquaintances or teammates,Netherlands,None,3.0,Slightly dissatisfied,18,Student at college / university,Fun,fun
22,Germany,Bachelor (or equivalent),mild anxiety,6,League of Legends,Male,25.0,diamond,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Germany,None,6.0,Slightly satisfied,23,Employed,Fun,improving
19,Germany,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Male,17.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Argentina,None,10.0,Satisfied,27,Student at college / university,Fun,fun
18,Denmark,None,minimal anxiety,1,League of Legends,Male,50.0,platinum,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,Denmark,None,10.0,Extremely satisfied,31,Unemployed / between jobs,Earning while playing,fun
25,Germany,Bachelor (or equivalent),minimal anxiety,4,League of Legends,Male,10.0,unranked,4.0,Mostly True of me,PC,Multiplayer - online - with real life friends,Germany,None,2.0,Slightly satisfied,21,Student at college / university,Fun,improving
18,Canada,High school diploma (or equivalent),minimal anxiety,0,League of Legends,Male,10.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Canada,None,1.0,Satisfied,28,Student at college / university,Fun,fun
20,Norway,High school diploma (or equivalent),mild anxiety,7,League of Legends,Male,25.0,unranked,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,China,Severe,41.0,Slightly dissatisfied,15,Student at college / university,Fun,improving
23,Italy,Bachelor (or equivalent),minimal anxiety,4,League of Legends,Male,20.0,gold,4.0,Mostly True of me,PC,Multiplayer - online - with real life friends,Germany,None,8.0,Satisfied,30,Student at college / university,Fun,fun
29,UK,Bachelor (or equivalent),minimal anxiety,3,League of Legends,Male,14.0,silver,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,UK,None,8.0,Extremely satisfied,33,Employed,Fun,improving
18,Canada,None,mild anxiety,9,League of Legends,Male,13.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,Canada,Mild,22.0,Neutral,20,Student at school,Fun,winning
18,USA,None,minimal anxiety,4,League of Legends,Male,20.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,USA,Mild,26.0,Slightly dissatisfied,17,Student at school,Fun,improving
25,UK,Bachelor (or equivalent),moderate anxiety,14,League of Legends,Male,12.0,silver,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,UK,None,8.0,dissatisfied,13,Unemployed / between jobs,Fun,fun
21,Portugal,Bachelor (or equivalent),minimal anxiety,3,League of Legends,Male,35.0,platinum,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,Portugal,Severe,48.0,Slightly dissatisfied,17,Student at college / university,Fun,relaxing
19,Unknown,None,mild anxiety,5,League of Legends,Male,7.0,platinum,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Unknown,None,9.0,Slightly dissatisfied,18,Student at college / university,Fun,improving
21,Germany,Bachelor (or equivalent),minimal anxiety,1,League of Legends,Male,30.0,diamond,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,Germany,None,19.0,Satisfied,29,Student at college / university,Fun,improving
